source_file,nx,ny,nz,nRaySPECT,coneMethod,implementation,projector_type,OSEM,nIter,nSubsets,subset_type,nProjections, ntime
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.756616
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.733661
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.770940
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.774843
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.730904
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.729936
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.734354
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.730075
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.732014
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.746633
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.756892
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.736401
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.737255
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.739659
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.747229
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.744333
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.754167
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.758300
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.764711
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.729537
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.764697
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.727670
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.755008
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.737005
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.753605
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.741623
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.740788
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.753272
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.766708
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.750916
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.761569
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.746752
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.759446
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.737783
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.753785
